shots,overall_precision,overall_recall,overall_f1,overall_accuracy
0,0.2235294117647059,0.05757575757575758,0.09156626506024096,0.9664771899140067
1,0.2647058823529412,0.24545454545454545,0.25471698113207547,0.9580236117184084
5,0.2078853046594982,0.17575757575757575,0.19047619047619047,0.9559102171695089
10,0.1993006993006993,0.17272727272727273,0.18506493506493507,0.9567847252587086
20,0.18980169971671387,0.20303030303030303,0.19619326500732062,0.9468007579070107
30,0.19420289855072465,0.20303030303030303,0.1985185185185185,0.9446144876840111
40,0.2,0.20303030303030303,0.20150375939849624,0.934994898702813
