shots,overall_precision,overall_recall,overall_f1,overall_accuracy
0,0.24242424242424243,0.048484848484848485,0.08080808080808081,0.9677160763737065
1,0.24411764705882352,0.2515151515151515,0.24776119402985078,0.9548170820580091
5,0.20955882352941177,0.17272727272727273,0.18936877076411962,0.955108584754409
10,0.21160409556313994,0.18787878787878787,0.1990369181380417,0.9570033522810086
20,0.199438202247191,0.21515151515151515,0.20699708454810495,0.9544527036875091
30,0.18604651162790697,0.19393939393939394,0.18991097922848663,0.9388573094301123
40,0.17365269461077845,0.17575757575757575,0.1746987951807229,0.9262498178108147
