shots,overall_precision,overall_recall,overall_f1,overall_accuracy
0,0.2857142857142857,0.04242424242424243,0.07387862796833773,0.9686634601370062
1,0.28402366863905326,0.2909090909090909,0.2874251497005988,0.9572219793033085
5,0.2229965156794425,0.19393939393939394,0.2074554294975689,0.9567118495846086
10,0.22614840989399293,0.19393939393939394,0.20880913539967375,0.9572948549774085
20,0.19398907103825136,0.21515151515151515,0.2040229885057471,0.9529223145314094
30,0.18155619596541786,0.19090909090909092,0.18611521418020682,0.9359422824661128
40,0.19879518072289157,0.2,0.19939577039274928,0.9282903366856143
