shots,overall_precision,overall_recall,overall_f1,overall_accuracy
0,0.25821596244131456,0.16666666666666666,0.2025782688766114,0.9619588981198076
1,0.25461254612546125,0.20909090909090908,0.22961730449251247,0.9586794927853083
5,0.06666666666666667,0.0030303030303030303,0.0057971014492753615,0.9695379682262061
10,0.11764705882352941,0.006060606060606061,0.011527377521613832,0.9693922168780061
20,0.0,0.0,0.0,0.9555458387990089
30,0.2222222222222222,0.024242424242424242,0.04371584699453552,0.9674974493514065
40,0.3939393939393939,0.03939393939393939,0.07162534435261707,0.9704853519895059
